baseline,scenario,metric,unit,n_baseline,n_scenario,baseline_median,scenario_median,median_difference,median_difference_ci_low,median_difference_ci_high,relative_change_percent,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,bootstrap_replicas,confidence_level,analysis_seed,bootstrap_seed,tested,not_tested_reason,permutation_replicas,permutation_seed,permutation_extreme_count,permutation_p,holm_family_size,holm_adjusted_p,alpha
sin fallas,follower caído,throughput,writes/s,30,30,1.9833165015409095,1.971589773172238,-0.011726728368671502,-0.09179306796281939,0.009586456482884032,-0.5912686330981742,-0.1511111111111111,-0.43777777777777777,0.14666666666666667,100000,0.95,20260912,8012083615776469474,true,,100000,5651682129603273118,14032,0.14032859671403286,18,1,0.05
sin fallas,follower caído,latency_p50_ms,ms,30,30,418.0866205,423.314521,5.2279005000000325,-82.49074049999996,167.642515,1.2504347768287571,0.06,-0.24444444444444444,0.35777777777777775,100000,0.95,20260912,5671347870894015135,true,,100000,823602925660378155,96182,0.961820381796182,18,1,0.05
sin fallas,follower caído,latency_p95_ms,ms,30,30,1903.720284,1872.698093,-31.02219100000002,-282.46658950000005,475.4571034999999,-1.6295561517481905,0.06222222222222222,-0.24666666666666667,0.36,100000,0.95,20260912,850650128973921724,true,,100000,8073285912479169144,90931,0.9093109068909311,18,1,0.05
sin fallas,follower caído,latency_p99_ms,ms,30,30,2692.0640995,2564.284435,-127.77966449999985,-580.5238945000001,660.9239210000001,-4.746531277755706,-0.0022222222222222222,-0.30666666666666664,0.3,100000,0.95,20260912,840400973501088568,true,,100000,1465223127988203772,68393,0.6839331606683933,18,1,0.05
sin fallas,follower caído,uncertain_writes,count,30,30,0,0,0,0,6,,0.1811111111111111,-0.06666666666666667,0.42444444444444446,100000,0.95,20260912,7475829105955788096,true,,100000,3357377825219269348,100000,1,18,1,0.05
sin fallas,follower caído,omitted_operations,count,30,30,0,0,0,0,0,,-0.06666666666666667,-0.26666666666666666,0.13333333333333333,100000,0.95,20260912,4145353801291573307,true,,100000,2393462463560752327,100000,1,18,1,0.05
sin fallas,leader caído,throughput,writes/s,30,30,1.9833165015409095,1.8083056893217422,-0.17501081221916737,-0.24554124402305444,-0.12274258339617683,-8.824149452858144,-0.76,-0.9333333333333333,-0.5422222222222223,100000,0.95,20260912,1281286271047055847,true,,100000,3253279634183115035,6,0.00006999930000699993,18,0.001049989500104999,0.05
sin fallas,leader caído,latency_p50_ms,ms,30,30,418.0866205,410.81905600000005,-7.267564499999935,-77.6007505,65.2311355,-1.7382915749153849,0.011111111111111112,-0.28888888888888886,0.3088888888888889,100000,0.95,20260912,1327796109132139394,true,,100000,3223049587674815334,84788,0.8478815211847881,18,1,0.05
sin fallas,leader caído,latency_p95_ms,ms,30,30,1903.720284,2697.8902675,794.1699835,366.3165960000001,1167.2701715,41.716736968906496,0.6266666666666667,0.3933333333333333,0.8222222222222222,100000,0.95,20260912,1297087868430120381,true,,100000,5461645035496435745,1,0.00001999980000199998,18,0.00033999660003399966,0.05
sin fallas,leader caído,latency_p99_ms,ms,30,30,2692.0640995,4246.1791095,1554.11501,1119.864521,2037.597688499999,57.72949501048832,0.7,0.4866666666666667,0.8755555555555555,100000,0.95,20260912,1228503008205710969,true,,100000,5835795977969661685,0,0.00000999990000099999,18,0.00017999820001799984,0.05
sin fallas,leader caído,uncertain_writes,count,30,30,0,11,11,8,15,,0.7855555555555556,0.5711111111111111,0.9533333333333334,100000,0.95,20260912,2219233955104574265,true,,100000,168254381882775429,18,0.00018999810001899982,18,0.0026599734002659974,0.05
sin fallas,leader caído,omitted_operations,count,30,30,0,0,0,0,1,,0.13333333333333333,-0.1,0.36666666666666664,100000,0.95,20260912,2830107089540840310,true,,100000,2666257230330647754,100000,1,18,1,0.05
sin fallas,partición de leader,throughput,writes/s,30,30,1.9833165015409095,1.816650967595013,-0.16666553394589645,-0.299520677758113,-0.13332150721607583,-8.403375548804648,-0.8044444444444444,-0.9511111111111111,-0.6155555555555555,100000,0.95,20260912,6556661633536626503,true,,100000,2913506252330063947,2,0.00002999970000299997,18,0.00047999520004799953,0.05
sin fallas,partición de leader,latency_p50_ms,ms,30,30,418.0866205,391.94210250000003,-26.144517999999948,-91.7545015,33.328937999999994,-6.253373515931482,-0.14222222222222222,-0.4288888888888889,0.15333333333333332,100000,0.95,20260912,5429808063337002850,true,,100000,1150803902839398742,40002,0.4000259997400026,18,1,0.05
sin fallas,partición de leader,latency_p95_ms,ms,30,30,1903.720284,1951.366808,47.646524,-158.94176650000009,388.8956149999999,2.50281117454334,0.10444444444444445,-0.19555555555555557,0.39111111111111113,100000,0.95,20260912,5207138471699196445,true,,100000,6210039056655482321,65965,0.6596534034659653,18,1,0.05
sin fallas,partición de leader,latency_p99_ms,ms,30,30,2692.0640995,3026.3593215,334.2952220000002,-242.14835200000016,737.2212719999998,12.417803203946342,0.1511111111111111,-0.14444444444444443,0.44,100000,0.95,20260912,5330514962410574425,true,,100000,3350323970579443877,26072,0.26072739272607276,18,1,0.05
sin fallas,partición de leader,uncertain_writes,count,30,30,0,10,10,8.5,17,,0.82,0.6344444444444445,0.9622222222222222,100000,0.95,20260912,296663824087298265,true,,100000,5313862429403633397,56,0.0005699943000569994,18,0.007409925900740993,0.05
sin fallas,partición de leader,omitted_operations,count,30,30,0,0,0,0,0,,0,-0.2,0.2,100000,0.95,20260912,1709356755299915670,true,,100000,2361886987691481754,100000,1,18,1,0.05
