scenario,metric,unit,n,min,q1,median,q3,max,iqr,mad,mean,stddev
sin fallas,throughput,writes/s,30,1.6166494395424622,1.9174898242096226,1.9833165015409095,1.9981799552688773,1.9999956624760737,0.08069013105925471,0.01664723095023035,1.9366376592475378,0.10835915262981953
sin fallas,latency_p50_ms,ms,30,297.81844,366.45865175,418.0866205,485.057577,629.710311,118.59892524999998,66.73879,441.59338619999994,103.00549389698293
sin fallas,latency_p95_ms,ms,30,1222.567163,1687.41305625,1903.720284,2299.49041475,2818.374489,612.0773585000002,257.43076099999996,1939.0043469666668,411.1381875297867
sin fallas,latency_p99_ms,ms,30,1736.538411,2281.93427825,2692.0640995,3235.885201,4318.502089,953.9509227500002,500.93502950000016,2813.3600002666667,701.0443863048325
sin fallas,uncertain_writes,count,30,0,0,0,3.75,23,3.75,0,3.1333333333333337,6.600592101618917
sin fallas,omitted_operations,count,30,0,0,0,0,1,0,0,0.23333333333333334,0.4301830671520764
follower caído,throughput,writes/s,30,0.8767614651877622,1.8124910934128495,1.971589773172238,1.9957844507644218,1.9999743817281521,0.18329335735157226,0.028378361385521966,1.876998974339882,0.21912024008837822
follower caído,latency_p50_ms,ms,30,262.285696,342.96602575000003,423.314521,614.69136225,1142.906102,271.72533649999997,98.18226850000002,495.25832233333335,203.10406866643456
follower caído,latency_p95_ms,ms,30,1217.46133,1581.2113089999998,1872.698093,2855.8490785000004,3735.251719,1274.6377695000006,329.06081700000004,2190.6550030333333,774.4205017426248
follower caído,latency_p99_ms,ms,30,1717.386964,2134.7778895,2564.284435,3928.6940525,4738.985639,1793.9161629999999,583.9858119999999,2946.9693862000004,1013.8462788212903
follower caído,uncertain_writes,count,30,0,0,0,11.25,66,11.25,0,6.633333333333333,12.978718212396076
follower caído,omitted_operations,count,30,0,0,0,0,1,0,0,0.16666666666666666,0.3790490217894517
leader caído,throughput,writes/s,30,1.3574829861394202,1.6999682641353973,1.8083056893217422,1.8666459971756972,1.9166611516019803,0.16667773304029998,0.07498875472994448,1.771952163863667,0.13133086696455096
leader caído,latency_p50_ms,ms,30,268.750016,353.899714,410.81905600000005,581.0308465,864.320563,227.13113250000004,74.78438150000005,463.9986328333334,164.2653128330793
leader caído,latency_p95_ms,ms,30,1585.149257,2182.787711,2697.8902675,3147.1082724999997,3854.104206,964.3205614999997,494.17535900000007,2673.2086688666664,631.1152387567163
leader caído,latency_p99_ms,ms,30,2057.18531,3192.6611275,4246.1791095,4581.55862075,5749.297899,1388.89749325,437.9389415000005,3998.6133542666657,904.8916452016123
leader caído,uncertain_writes,count,30,5,7.25,11,17.75,37,10.5,4.5,13.200000000000001,7.743295208737373
leader caído,omitted_operations,count,30,0,0,0,1,1,1,0,0.36666666666666664,0.490132517853561
partición de leader,throughput,writes/s,30,1.249987399835346,1.624989180355778,1.816650967595013,1.8503166347574957,1.8999917514708098,0.22532745440171764,0.06627093030227493,1.730725176778485,0.17981973184331693
partición de leader,latency_p50_ms,ms,30,250.717838,330.23945975000004,391.94210250000003,470.4599845,679.466233,140.22052474999998,73.44539350000002,416.2514918333333,116.56247617043547
partición de leader,latency_p95_ms,ms,30,1251.530488,1744.46997875,1951.366808,2371.9085895,3555.437527,627.4386107499997,339.73904249999987,2077.0097414,554.1967408645844
partición de leader,latency_p99_ms,ms,30,1969.087028,2346.4199559999997,3026.3593215,3427.72256075,5554.804649,1081.3026047500002,559.924679,3035.3297961,825.6893116317808
partición de leader,uncertain_writes,count,30,5,8,10,22.5,45,14.5,3.5,15.566666666666668,10.896640840607503
partición de leader,omitted_operations,count,30,0,0,0,0,1,0,0,0.23333333333333334,0.4301830671520764
