scenario,run,source_file,revision_git,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,confirmed_writes,uncertain_writes,rejected_writes,omitted_operations,measurement_window_seconds,restored
sin fallas,1,normal-faults-5-001.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.649922968121477,429.876842,1911.786535,2832.88071,99,21,0,0,60.00280129,false
sin fallas,2,normal-faults-5-002.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999732668240027,351.569875,1222.567163,2132.226793,120,0,0,0,60.000802006,false
sin fallas,3,normal-faults-5-003.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9832991036071592,324.371818,1669.492273,2168.862205,119,0,0,1,60.001035539,false
sin fallas,4,normal-faults-5-004.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9806306443452264,629.710311,1963.100691,2437.514073,120,0,0,0,60.586763283,false
sin fallas,5,normal-faults-5-005.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8628117513308406,432.784436,1720.32189,2337.332785,114,5,0,1,61.197810202,false
sin fallas,6,normal-faults-5-006.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9665784041210486,374.769662,1610.417834,2285.396246,120,0,0,0,61.019687671,false
sin fallas,7,normal-faults-5-007.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999632256095237,338.560366,1265.850744,1943.241854,120,0,0,0,60.001103252,false
sin fallas,8,normal-faults-5-008.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9011269642391473,367.68998,1855.342529,2691.173027,115,5,0,0,60.490436548,false
sin fallas,9,normal-faults-5-009.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999956624760737,306.915602,1738.235394,2979.760486,120,0,0,0,60.000130126,false
sin fallas,10,normal-faults-5-010.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9893108546840481,391.298936,1895.654033,2889.40519,120,0,0,0,60.322397436,false
sin fallas,11,normal-faults-5-011.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.999947131197592,333.893801,1623.086773,2122.725922,120,0,0,0,60.001586106,false
sin fallas,12,normal-faults-5-012.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9928784274827327,297.81844,1848.114856,2491.132139,120,0,0,0,60.214410646,false
sin fallas,13,normal-faults-5-013.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.991248650784238,463.89541,1775.660627,2202.099237,120,0,0,0,60.263694317,false
sin fallas,14,normal-faults-5-014.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8833133860940503,585.425303,2641.478775,3458.058248,113,7,0,0,60.000635494,false
sin fallas,15,normal-faults-5-015.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999750345116418,571.696456,2335.0641,3835.837155,120,0,0,0,60.000748974,false
sin fallas,16,normal-faults-5-016.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9822739797135838,395.788286,1676.443445,2343.235943,120,0,0,0,60.536535932,false
sin fallas,17,normal-faults-5-017.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9833062697970778,563.723704,2818.374489,4318.502089,119,0,0,1,60.00081874,false
sin fallas,18,normal-faults-5-018.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9849482173305708,366.048209,2126.507082,2692.955172,120,0,0,0,60.454977592,false
sin fallas,19,normal-faults-5-019.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9786791599168172,485.047455,2476.973294,3913.747388,120,0,0,0,60.646517349,false
sin fallas,20,normal-faults-5-020.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9888176621450926,485.060951,1850.804392,2280.780289,120,0,0,0,60.337356352,false
sin fallas,21,normal-faults-5-021.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.984910165779259,448.751743,2393.483488,3246.523836,120,0,0,0,60.456136539,false
sin fallas,22,normal-faults-5-022.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9833267332847413,406.296399,1936.794549,2965.36979,119,0,0,1,60.000199666,false
sin fallas,23,normal-faults-5-023.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8453892942332286,606.310252,2381.420659,3203.969296,111,8,0,1,60.14991002,false
sin fallas,24,normal-faults-5-024.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.999964542928613,616.512744,2284.410644,3784.576547,120,0,0,0,60.001063731,false
sin fallas,25,normal-faults-5-025.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6666455107407694,331.846877,2387.226237,4006.408026,100,20,0,0,60.000761623,false
sin fallas,26,normal-faults-5-026.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999944745485987,477.995653,1935.92058,2488.124366,120,0,0,0,60.000165764,false
sin fallas,27,normal-faults-5-027.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.899983827907652,371.95452,1314.276313,1736.538411,114,5,0,1,60.000510702,false
sin fallas,28,normal-faults-5-028.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9833007847561095,463.494273,1939.068574,2719.115973,119,0,0,1,60.000984679,false
sin fallas,29,normal-faults-5-029.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6166494395424622,623.534757,2304.517005,3803.956858,97,23,0,0,60.000639364,false
sin fallas,30,normal-faults-5-030.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999642393727561,405.158525,1267.735441,2089.349954,120,0,0,0,60.001072838,false
follower caído,1,follower-down-5-001.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9734655289933825,357.721873,1374.255247,1791.669998,120,0,0,0,60.806737304,true
follower caído,2,follower-down-5-002.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7999708671415207,370.846425,1524.730038,2118.064902,108,12,0,0,60.000971111,true
follower caído,3,follower-down-5-003.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999647800868987,607.95096,2617.713232,3223.036206,120,0,0,0,60.001056616,true
follower caído,4,follower-down-5-004.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999743817281521,746.013822,3160.202271,4159.999363,120,0,0,0,60.000768558,true
follower caído,5,follower-down-5-005.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7832961001318315,1142.906102,3487.649501,4654.533848,107,13,0,0,60.001252732,true
follower caído,6,follower-down-5-006.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9942535611886276,772.392036,2974.184676,4190.919215,120,0,0,0,60.172889915,true
follower caído,7,follower-down-5-007.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9962947472896866,616.938163,2221.225378,2814.86647,120,0,0,0,60.111363897,true
follower caído,8,follower-down-5-008.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9507847242457492,791.078519,3375.112471,4560.839703,120,0,0,0,61.513707027,true
follower caído,9,follower-down-5-009.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,0.8767614651877622,747.739316,3735.251719,4735.224343,54,66,0,0,61.590298096,true
follower caído,10,follower-down-5-010.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.721214821717551,704.974552,3665.320613,4738.985639,107,12,0,1,62.165395423,true
follower caído,11,follower-down-5-011.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8499900813090122,426.312299,2034.265263,2309.617176,111,9,0,0,60.000321689,true
follower caído,12,follower-down-5-012.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8981296250161737,380.580809,1806.944032,2808.001206,114,6,0,0,60.059122674,true
follower caído,13,follower-down-5-013.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9979618528407188,372.251958,1571.354279,2566.970444,120,0,0,0,60.061206789,true
follower caído,14,follower-down-5-014.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999678225510358,262.285696,1661.002822,2333.675804,120,0,0,0,60.000965339,true
follower caído,15,follower-down-5-015.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9934581824413873,431.548107,1938.452154,2566.257678,120,0,0,0,60.196898564,true
follower caído,16,follower-down-5-016.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.992219197335835,380.595935,1600.530967,2379.12397,120,0,0,0,60.23433574,true
follower caído,17,follower-down-5-017.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9835279806176482,395.127265,1574.771423,1984.084436,120,0,0,0,60.498264291,true
follower caído,18,follower-down-5-018.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9999670100775098,289.335406,1217.46133,1717.386964,120,0,0,0,60.000989714,true
follower caído,19,follower-down-5-019.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9076936381893426,326.521836,1764.457455,1961.690832,117,3,0,0,61.330602387,true
follower caído,20,follower-down-5-020.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9843120354635673,338.04741,1357.753216,1947.157645,120,0,0,0,60.474359806,true
follower caído,21,follower-down-5-021.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.891506876218815,335.197597,1572.106275,2071.208614,114,6,0,0,60.269408181,true
follower caído,22,follower-down-5-022.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.5971516479497583,323.742669,2433.146214,3911.103446,96,24,0,0,60.107003692,true
follower caído,23,follower-down-5-023.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9832973191661938,449.467246,1675.063991,2184.916852,119,0,0,1,60.001089524,true
follower caído,24,follower-down-5-024.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9697140173510936,578.059612,3328.662605,4328.09022,119,0,0,1,60.414861727,true
follower caído,25,follower-down-5-025.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.916655548595049,420.316743,1686.204212,2081.053594,115,5,0,0,60.000348046,true
follower caído,26,follower-down-5-026.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7999914307807954,333.968369,1759.368421,2231.110357,108,12,0,0,60.000285642,true
